func_args;signature;origin
ProxyOwnershipTransferred(address,address);\x5a3e66efaa1e445ebd894728a69d6959842ea1e97bd79b892797106e270efcd9;10
NewPendingOwner(address,address);\xb3d55174552271a4f1aaf36b72f50381e892171636b3fb5447fe00e995e7a37b;10
Upgraded(address);\xbc7cd75a20ee27fd9adebab32041f755214dbc6bffa90cc0225b39da2e5c2d3b;10
OwnershipTransferred(address,address);\x8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e0;10
DepositAddressRegistered(address);\xbaf467ef98505027c660d9e64f28bd131b53031f16041638e719d143d136b119;10
Transfer(address,address,uint256);\xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef;10
Approval(address,address,uint256);\x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925;10
Owner(address);\xa5e220c2c27d986cc8efeafa8f34ba6ea6bf96a34e146b29b6bdd8587771b130;10
Registry(address);\x77ef9581150690a5caca1de816c50c822d4ea88fb86fe334603379ec2d6f9697;10
Voter(address);\x0c1b36e97846a7da5a05d35cf12e6549b45ad533b06775af71fcb75690fdf48f;10
Deregistered(address);\xafebd0f81ba8c430fcc0c6a6e7a26fd7f868af9c4e4f19db37a0f16502374fd5;10
Nominated(address,string);\x10eb58b80d8dab737c2dc31ab5500fd37934ac8bb77d1bc34920e6fc099ef4d9;10
Board(address);\x178407cae5375558cd8030fb8b73bfce971b88244c1990eb3eee1cd7cb9441c6;10
Denounced(address,string);\x18d705b35f29472753650fce78acd3f51e4c48e8bd3b94ed48c287de94d158a2;10
Revoked(address);\xb6fa8b8bd5eab60f292eca876e3ef90722275b785309d84b1de113ce0b8c4e74;10
Proposal(address);\xd721fc4b71111225bba131141f013ef3e3956654b0eade3c9e9f611f0d93b551;10
Cabal(address);\xe7b1cf53f9999f711cffc4925ff3aaee31c18c92ff4c567f7e393c8b533dc060;10
BannedProposal(address,string);\x6d40a6c0f7bf75feb085f27d17650576451083335801947f974c72623e9f030e;10
Vouch(address,string);\x32407bc42541b7e0fd0a143e0777c89664118525168de7c174f1264608603edf;10
Proposer(address);\xa990523a550e65422b3b987dda53586fadb4067c5e34841901d2f74a5c81e4ad;10
Devouch(address,string);\x97232fb2be1b40673dd8ccff240d014fc18b0c07b9ef28b4472a298982778a93;10
Shutdown(address);\x28b4c24cb1012c094cd2f59f98e89d791973295f8fda6eaa118022d6d318960a;10
Case(bytes);\xb026a0d6eb8b5919e909850a1d0ab0f3468e08b48ef884a544e886fb93d6ab04;10
Funds(address,uint256);\xe1c5e54d52bd7b4ce225cc28afbcd0d44c4aff0a689cc20f5f4ee1ee3d7e839c;10
